localite,date,pm10,pm2_5
gin_beyla,2021-01-01,119.0232,86.3371
gin_beyla,2021-01-02,51.5544,37.6424
gin_beyla,2021-01-03,33.4226,25.779
gin_beyla,2021-01-04,46.2252,34.2954
gin_beyla,2021-01-05,38.4702,28.5782
gin_beyla,2021-01-06,229.7938,165.9696
gin_beyla,2021-01-07,78.7989,57.4504
gin_beyla,2021-01-08,68.2173,50.0327
gin_beyla,2021-01-09,38.037,28.3668
gin_beyla,2021-01-10,35.5288,26.3801
gin_beyla,2021-01-11,41.8831,31.0012
gin_beyla,2021-01-12,40.6318,31.0323
gin_beyla,2021-01-13,151.4951,110.3755
gin_beyla,2021-01-14,66.9402,49.2533
gin_beyla,2021-01-15,239.0336,172.8705
gin_beyla,2021-01-16,72.0798,52.2314
gin_beyla,2021-01-17,328.3322,238.0823
gin_beyla,2021-01-18,251.7099,182.4986
gin_beyla,2021-01-19,214.1748,156.4481
gin_beyla,2021-01-20,254.2624,184.2884
gin_beyla,2021-01-21,76.7674,57.4733
gin_beyla,2021-01-22,200.3543,146.0353
gin_beyla,2021-01-23,90.6386,68.4775
gin_beyla,2021-01-24,338.0195,248.0211
gin_beyla,2021-01-25,185.1039,134.8563
gin_beyla,2021-01-26,160.1734,116.1836
gin_beyla,2021-01-27,216.4433,156.1405
gin_beyla,2021-01-28,141.5804,102.4897
gin_beyla,2021-01-29,200.8578,145.5837
gin_beyla,2021-01-30,76.7119,55.9374
gin_beyla,2021-01-31,181.3593,132.348
gin_beyla,2021-02-01,103.9419,76.7135
gin_beyla,2021-02-02,218.0672,160.9314
gin_beyla,2021-02-03,142.8844,108.6617
gin_beyla,2021-02-04,157.8375,119.6111
gin_beyla,2021-02-05,167.4563,125.4601
gin_beyla,2021-02-06,77.942,61.1226
gin_beyla,2021-02-07,444.8634,324.1464
gin_beyla,2021-02-08,248.2596,184.4045
gin_beyla,2021-02-09,421.9603,316.9219
gin_beyla,2021-02-10,204.7892,159.6428
gin_beyla,2021-02-11,176.1465,133.8551
gin_beyla,2021-02-12,94.3553,71.8717
gin_beyla,2021-02-13,119.2106,90.116
gin_beyla,2021-02-14,104.7516,81.2
gin_beyla,2021-02-15,60.3391,47.9238
gin_beyla,2021-02-16,36.6046,28.0199
gin_beyla,2021-02-17,21.8034,16.4524
gin_beyla,2021-02-18,24.1812,18.5048
gin_beyla,2021-02-19,32.1333,24.4379
gin_beyla,2021-02-20,54.4223,43.0907
gin_beyla,2021-02-21,127.7401,101.0399
gin_beyla,2021-02-22,120.669,94.4214
gin_beyla,2021-02-23,459.7379,333.6442
gin_beyla,2021-02-24,138.043,101.8883
gin_beyla,2021-02-25,532.3191,388.1462
gin_beyla,2021-02-26,382.7585,278.002
gin_beyla,2021-02-27,997.6798,720.9948
gin_beyla,2021-02-28,258.8769,190.9363
gin_beyla,2021-03-01,104.134,82.4712
gin_beyla,2021-03-02,427.3126,315.9854
gin_beyla,2021-03-03,172.7561,131.716
gin_beyla,2021-03-04,176.2495,133.8785
gin_beyla,2021-03-05,94.3758,73.5012
gin_beyla,2021-03-06,67.0837,54.1373
gin_beyla,2021-03-07,43.9912,35.4001
gin_beyla,2021-03-08,35.8509,29.0172
