localite,annee,mois,dni
gin_beyla,2004,2,3.6673
gin_beyla,2004,3,2.9227
gin_beyla,2004,4,3.1756
gin_beyla,2004,5,3.9934
gin_beyla,2004,6,4.0688
gin_beyla,2004,7,3.8713
gin_beyla,2004,8,4.1588
gin_beyla,2004,9,4.6585
gin_beyla,2004,10,5.2764
gin_beyla,2004,11,5.4769
gin_beyla,2004,12,4.5155
gin_beyla,2005,1,4.6725
gin_beyla,2005,2,3.6121
gin_beyla,2005,3,3.6735
gin_beyla,2005,4,4.2329
gin_beyla,2005,5,4.3114
gin_beyla,2005,6,3.2542
gin_beyla,2005,7,4.4198
gin_beyla,2005,8,3.6179
gin_beyla,2005,9,4.7022
gin_beyla,2005,10,4.9923
gin_beyla,2005,11,4.4553
gin_beyla,2005,12,5.0495
gin_beyla,2006,1,5.4425
gin_beyla,2006,2,4.0156
gin_beyla,2006,3,3.1657
gin_beyla,2006,4,3.7292
gin_beyla,2006,5,4.1733
gin_beyla,2006,6,3.9667
gin_beyla,2006,7,4.0309
gin_beyla,2006,8,3.2989
gin_beyla,2006,9,3.6467
gin_beyla,2006,10,5.0975
gin_beyla,2006,11,6.3493
gin_beyla,2006,12,5.4502
gin_beyla,2007,1,4.4481
gin_beyla,2007,2,4.4823
gin_beyla,2007,3,3.1044
gin_beyla,2007,4,3.5141
gin_beyla,2007,5,4.3815
gin_beyla,2007,6,4.3745
gin_beyla,2007,7,3.6718
gin_beyla,2007,8,3.283
gin_beyla,2007,9,3.8144
gin_beyla,2007,10,4.6473
gin_beyla,2007,11,5.1415
gin_beyla,2007,12,5.9303
gin_beyla,2008,1,6.3487
gin_beyla,2008,2,4.2064
gin_beyla,2008,3,3.3393
gin_beyla,2008,4,3.4349
gin_beyla,2008,5,4.2673
gin_beyla,2008,6,4.3706
gin_beyla,2008,7,3.972
gin_beyla,2008,8,3.8027
gin_beyla,2008,9,4.0544
gin_beyla,2008,10,4.92
gin_beyla,2008,11,5.7544
gin_beyla,2008,12,5.3204
gin_beyla,2009,1,5.2668
gin_beyla,2009,2,3.7612
gin_beyla,2009,3,2.7376
gin_beyla,2009,4,3.2128
gin_beyla,2009,5,4.4917
gin_beyla,2009,6,4.4246
gin_beyla,2009,7,3.5304
gin_beyla,2009,8,3.3115
gin_beyla,2009,9,4.3017
gin_beyla,2009,10,4.7416
gin_beyla,2009,11,5.3204
gin_beyla,2009,12,5.5967
gin_beyla,2010,1,5.8267
gin_beyla,2010,2,5.1127
gin_beyla,2010,3,2.9533
gin_beyla,2010,4,3.0723
gin_beyla,2010,5,4.3639
gin_beyla,2010,6,4.1272
gin_beyla,2010,7,3.5488
gin_beyla,2010,8,3.5698
gin_beyla,2010,9,4.1601
gin_beyla,2010,10,4.5445
gin_beyla,2010,11,5.0095
gin_beyla,2010,12,5.0927
gin_beyla,2011,1,4.8335
gin_beyla,2011,2,4.9714
gin_beyla,2011,3,4.2499
gin_beyla,2011,4,3.8766
gin_beyla,2011,5,4.4885
gin_beyla,2011,6,3.9889
gin_beyla,2011,7,3.477
gin_beyla,2011,8,3.4835
gin_beyla,2011,9,4.3473
gin_beyla,2011,10,4.8761
gin_beyla,2011,11,4.9138
gin_beyla,2011,12,5.8118
gin_beyla,2012,1,5.9708
gin_beyla,2012,2,3.5434
gin_beyla,2012,3,2.6238
gin_beyla,2012,4,3.8335
gin_beyla,2012,5,3.9928
gin_beyla,2012,6,4.031
gin_beyla,2012,7,3.4366
gin_beyla,2012,8,3.9149
gin_beyla,2012,9,4.0022
gin_beyla,2012,10,4.8951
gin_beyla,2012,11,5.0689
gin_beyla,2012,12,5.8376
gin_beyla,2013,1,6.2166
gin_beyla,2013,2,5.5029
gin_beyla,2013,3,3.7085
gin_beyla,2013,4,4.4188
gin_beyla,2013,5,4.4466
gin_beyla,2013,6,4.0536
gin_beyla,2013,7,4.2398
gin_beyla,2013,8,3.2182
gin_beyla,2013,9,4.6352
gin_beyla,2013,10,4.9028
gin_beyla,2013,11,5.6093
gin_beyla,2013,12,5.999
gin_beyla,2014,1,5.5412
gin_beyla,2014,2,4.6908
gin_beyla,2014,3,3.1398
gin_beyla,2014,4,4.3198
gin_beyla,2014,5,4.7524
gin_beyla,2014,6,4.4512
gin_beyla,2014,7,4.0315
gin_beyla,2014,8,3.4199
gin_beyla,2014,9,4.017
gin_beyla,2014,10,5.4599
gin_beyla,2014,11,4.7346
gin_beyla,2014,12,5.6096
gin_beyla,2015,1,4.9971
gin_beyla,2015,2,4.9638
gin_beyla,2015,3,3.0488
gin_beyla,2015,4,3.5009
gin_beyla,2015,5,4.3423
gin_beyla,2015,6,3.9625
gin_beyla,2015,7,4.3696
gin_beyla,2015,8,3.3289
gin_beyla,2015,9,4.6191
gin_beyla,2015,10,5.7463
gin_beyla,2015,11,5.9078
gin_beyla,2015,12,5.0853
gin_beyla,2016,1,4.6488
gin_beyla,2016,2,4.3249
gin_beyla,2016,3,3.994
gin_beyla,2016,4,4.0853
gin_beyla,2016,5,4.5001
gin_beyla,2016,6,4.4259
gin_beyla,2016,7,3.3619
gin_beyla,2016,8,3.7994
gin_beyla,2016,9,3.9465
gin_beyla,2016,10,5.0126
gin_beyla,2016,11,5.1288
gin_beyla,2016,12,5.5772
gin_beyla,2017,1,6.5271
gin_beyla,2017,2,4.2495
gin_beyla,2017,3,4.2653
gin_beyla,2017,4,4.1889
gin_beyla,2017,5,4.3206
gin_beyla,2017,6,4.0232
gin_beyla,2017,7,4.1104
gin_beyla,2017,8,3.6189
gin_beyla,2017,9,4.4359
gin_beyla,2017,10,5.5296
gin_beyla,2017,11,4.7544
gin_beyla,2017,12,5.0133
gin_beyla,2018,1,5.2229
gin_beyla,2018,2,4.4033
gin_beyla,2018,3,4.8519
gin_beyla,2018,4,3.3751
gin_beyla,2018,5,4.3098
gin_beyla,2018,6,4.0336
gin_beyla,2018,7,3.5844
gin_beyla,2018,8,3.2869
gin_beyla,2018,9,4.3232
gin_beyla,2018,10,5.2745
gin_beyla,2018,11,4.7366
gin_beyla,2018,12,6.7532
gin_beyla,2019,1,6.8913
gin_beyla,2019,2,5.2534
gin_beyla,2019,3,3.8893
gin_beyla,2019,4,3.2417
gin_beyla,2019,5,4.452
gin_beyla,2019,6,4.336
gin_beyla,2019,7,3.6254
gin_beyla,2019,8,3.6039
gin_beyla,2019,9,3.6156
gin_beyla,2019,10,4.7703
gin_beyla,2019,11,6.0972
gin_beyla,2019,12,7.1335
gin_beyla,2020,1,5.7466
