localite,date,ghi,t2m,vent_10m
gin_beyla,2021-01-01,6.0015,25.7861,0.9835
gin_beyla,2021-01-02,5.9898,25.5258,1.283
gin_beyla,2021-01-03,4.806,25.3697,1.5408
gin_beyla,2021-01-04,5.5426,26.5491,1.2924
gin_beyla,2021-01-05,5.6791,26.5567,1.9368
gin_beyla,2021-01-06,5.7251,26.4131,1.6999
gin_beyla,2021-01-07,5.765,26.0423,1.3883
gin_beyla,2021-01-08,5.3853,26.3162,1.4523
gin_beyla,2021-01-09,4.3591,25.8898,1.4923
gin_beyla,2021-01-10,4.7042,26.2709,1.3887
gin_beyla,2021-01-11,4.2921,25.6752,1.3372
gin_beyla,2021-01-12,5.7643,26.3294,1.4464
gin_beyla,2021-01-13,5.9408,26.0393,1.2179
gin_beyla,2021-01-14,5.9924,25.5839,1.4178
gin_beyla,2021-01-15,6.2764,25.1877,1.4397
gin_beyla,2021-01-16,5.8012,24.6139,1.3989
gin_beyla,2021-01-17,6.318,24.643,1.4361
gin_beyla,2021-01-18,6.2788,24.4223,1.6665
gin_beyla,2021-01-19,6.2631,25.5436,1.365
gin_beyla,2021-01-20,6.2262,25.2443,1.6469
gin_beyla,2021-01-21,6.317,25.5334,1.6879
gin_beyla,2021-01-22,6.425,25.2242,1.396
gin_beyla,2021-01-23,6.4867,25.2864,1.3166
gin_beyla,2021-01-24,6.4776,24.9492,1.316
gin_beyla,2021-01-25,6.4865,25.3928,1.2974
gin_beyla,2021-01-26,6.442,25.5953,1.3814
gin_beyla,2021-01-27,6.3498,25.6669,1.5304
gin_beyla,2021-01-28,6.1507,25.7099,1.3447
gin_beyla,2021-01-29,5.5335,25.9091,1.3715
gin_beyla,2021-01-30,6.2317,26.438,1.609
gin_beyla,2021-01-31,6.3112,26.3563,1.5941
gin_beyla,2021-02-01,6.5134,26.3822,1.4582
gin_beyla,2021-02-02,6.2352,25.8756,1.175
gin_beyla,2021-02-03,5.5831,26.8625,1.0538
gin_beyla,2021-02-04,6.12,27.186,1.4033
gin_beyla,2021-02-05,5.3631,27.7327,1.2596
gin_beyla,2021-02-06,5.2123,27.1717,1.5018
gin_beyla,2021-02-07,6.389,27.9028,1.2048
gin_beyla,2021-02-08,6.4092,27.1009,1.2652
gin_beyla,2021-02-09,6.6305,27.1981,1.5997
gin_beyla,2021-02-10,6.5789,27.1842,1.5377
gin_beyla,2021-02-11,6.5495,27.2725,1.2923
gin_beyla,2021-02-12,6.2492,27.6647,1.2054
gin_beyla,2021-02-13,6.0736,27.6529,1.4851
gin_beyla,2021-02-14,4.8106,26.863,1.7975
gin_beyla,2021-02-15,4.6557,25.7279,1.4384
gin_beyla,2021-02-16,4.7997,24.4869,1.2715
gin_beyla,2021-02-17,3.4284,23.8017,1.2607
gin_beyla,2021-02-18,4.7279,23.8661,0.7465
gin_beyla,2021-02-19,5.5853,25.4396,0.8453
gin_beyla,2021-02-20,5.6923,26.1078,1.1769
gin_beyla,2021-02-21,6.326,26.3586,1.1081
gin_beyla,2021-02-22,6.8432,26.3503,1.4796
gin_beyla,2021-02-23,6.8245,25.7396,1.0354
gin_beyla,2021-02-24,6.0527,25.7107,1.218
gin_beyla,2021-02-25,6.1942,26.1375,1.3069
gin_beyla,2021-02-26,6.8105,26.0246,1.0509
gin_beyla,2021-02-27,5.4962,25.3765,1.3809
gin_beyla,2021-02-28,4.7607,24.6106,1.2893
gin_beyla,2021-03-01,4.8441,25.4062,1.1804
gin_beyla,2021-03-02,5.8085,27.0176,1.4089
gin_beyla,2021-03-03,6.1391,27.51,1.4451
gin_beyla,2021-03-04,5.8321,27.9923,1.6973
gin_beyla,2021-03-05,5.2219,26.3602,1.9205
gin_beyla,2021-03-06,4.6486,24.7283,1.5152
gin_beyla,2021-03-07,5.6243,25.6506,1.0825
gin_beyla,2021-03-08,4.9048,24.7173,1.1945
gin_beyla,2021-03-09,5.5256,24.6304,1.5374
gin_beyla,2021-03-10,5.4547,25.4396,1.3117
gin_beyla,2021-03-11,5.0884,26.1368,1.6148
gin_beyla,2021-03-12,6.3595,26.9255,1.4163
gin_beyla,2021-03-13,6.4183,27.0269,1.3704
gin_beyla,2021-03-14,5.4061,25.8534,1.3417
gin_beyla,2021-03-15,6.0728,26.9684,1.2217
gin_beyla,2021-03-16,5.3389,25.7958,1.7355
gin_beyla,2021-03-17,5.8894,26.4886,1.6805
gin_beyla,2021-03-18,6.0695,25.9902,1.7636
gin_beyla,2021-03-19,5.9748,25.6939,1.3375
gin_beyla,2021-03-20,5.1482,24.1156,1.1411
gin_beyla,2021-03-21,5.1746,24.2912,1.2579
gin_beyla,2021-03-22,4.0657,23.7929,1.0545
gin_beyla,2021-03-23,5.7001,25.8624,1.3897
gin_beyla,2021-03-24,5.845,26.087,1.5644
gin_beyla,2021-03-25,6.7047,26.4315,1.5429
gin_beyla,2021-03-26,6.6775,26.93,1.6145
gin_beyla,2021-03-27,6.8946,26.5668,1.6537
gin_beyla,2021-03-28,5.4754,25.6497,1.6814
gin_beyla,2021-03-29,5.0136,24.5543,1.2059
gin_beyla,2021-03-30,6.2034,26.1216,1.3855
gin_beyla,2021-03-31,6.4426,26.3562,1.5274
gin_beyla,2021-04-01,7.2596,26.7513,1.7546
gin_beyla,2021-04-02,6.8472,27.025,1.8163
gin_beyla,2021-04-03,6.4806,26.9063,1.7287
gin_beyla,2021-04-04,6.3472,27.1387,1.6549
gin_beyla,2021-04-05,6.5905,27.0476,1.832
gin_beyla,2021-04-06,5.8617,25.4511,1.3871
gin_beyla,2021-04-07,5.9164,25.1807,1.1692
gin_beyla,2021-04-08,6.7576,27.338,1.3945
gin_beyla,2021-04-09,5.9939,26.9502,1.8642
gin_beyla,2021-04-10,6.6464,27.3584,1.9106
gin_beyla,2021-04-11,6.4623,27.1699,1.6952
gin_beyla,2021-04-12,6.683,27.4579,1.726
gin_beyla,2021-04-13,6.3678,26.4112,1.6389
gin_beyla,2021-04-14,3.0925,23.7921,1.4266
gin_beyla,2021-04-15,6.8864,26.4467,1.233
gin_beyla,2021-04-16,6.4257,25.6168,1.6339
gin_beyla,2021-04-17,3.1683,23.3136,1.0927
gin_beyla,2021-04-18,6.0591,26.3852,1.3779
gin_beyla,2021-04-19,5.8845,26.1326,1.7692
gin_beyla,2021-04-20,5.4933,25.8039,1.5255
gin_beyla,2021-04-21,4.5125,24.478,1.5711
gin_beyla,2021-04-22,5.9112,25.0104,1.036
gin_beyla,2021-04-23,3.605,25.4053,0.8317
gin_beyla,2021-04-24,6.6467,25.987,1.43
gin_beyla,2021-04-25,5.7526,25.0668,1.2075
gin_beyla,2021-04-26,6.822,26.0894,1.3444
gin_beyla,2021-04-27,5.8648,25.2019,1.6338
gin_beyla,2021-04-28,5.1822,24.789,0.9653
gin_beyla,2021-04-29,6.8974,26.1342,1.6269
gin_beyla,2021-04-30,6.1491,26.389,1.3638
gin_beyla,2021-05-01,6.2819,26.3354,1.2372
gin_beyla,2021-05-02,5.9786,25.4838,1.1629
gin_beyla,2021-05-03,3.9596,23.6551,0.8564
gin_beyla,2021-05-04,4.8589,23.8994,1.4321
gin_beyla,2021-05-05,4.3525,23.7614,1.5664
gin_beyla,2021-05-06,5.805,24.3592,1.7458
gin_beyla,2021-05-07,6.4797,24.3204,1.146
gin_beyla,2021-05-08,6.2071,24.6359,1.6416
gin_beyla,2021-05-09,5.6463,24.6351,1.5113
gin_beyla,2021-05-10,5.8379,24.2554,1.1278
gin_beyla,2021-05-11,5.4492,24.3284,1.3536
gin_beyla,2021-05-12,5.7428,25.2308,0.9355
gin_beyla,2021-05-13,6.6032,26.5957,1.1787
gin_beyla,2021-05-14,5.7502,26.0052,1.7372
gin_beyla,2021-05-15,6.4443,25.3092,1.6092
gin_beyla,2021-05-16,3.803,23.8707,0.9983
gin_beyla,2021-05-17,7.0902,26.6692,1.363
gin_beyla,2021-05-18,6.5469,26.3471,1.7607
gin_beyla,2021-05-19,6.455,26.2049,1.7912
gin_beyla,2021-05-20,6.484,25.8187,1.2674
gin_beyla,2021-05-21,6.1803,25.2686,1.0634
gin_beyla,2021-05-22,5.8034,24.9746,1.2637
gin_beyla,2021-05-23,6.3848,26.6485,1.117
gin_beyla,2021-05-24,6.2125,26.646,1.0183
gin_beyla,2021-05-25,4.3181,24.8497,1.3109
gin_beyla,2021-05-26,6.4665,25.9396,1.1514
gin_beyla,2021-05-27,6.1875,26.1327,1.1859
gin_beyla,2021-05-28,5.9521,25.2965,1.2219
gin_beyla,2021-05-29,5.539,25.3657,1.0189
gin_beyla,2021-05-30,5.2815,24.0893,1.1529
gin_beyla,2021-05-31,4.4567,23.7241,1.0527
gin_beyla,2021-06-01,6.041,24.7853,1.0109
gin_beyla,2021-06-02,6.5875,26.0399,1.0799
gin_beyla,2021-06-03,6.3963,25.6316,1.1013
gin_beyla,2021-06-04,6.5347,25.3141,1.0204
gin_beyla,2021-06-05,6.439,25.6806,1.2513
gin_beyla,2021-06-06,5.0029,24.7608,1.1587
gin_beyla,2021-06-07,5.3155,24.0208,1.3722
gin_beyla,2021-06-08,5.9186,24.4642,1.0089
gin_beyla,2021-06-09,4.405,23.7191,1.0549
gin_beyla,2021-06-10,3.3226,23.0317,0.995
gin_beyla,2021-06-11,4.917,23.6802,0.9148
gin_beyla,2021-06-12,6.1055,24.6077,1.2187
gin_beyla,2021-06-13,5.4992,24.0845,0.962
gin_beyla,2021-06-14,5.9934,24.228,1.1943
gin_beyla,2021-06-15,5.1545,23.6322,1.0778
gin_beyla,2021-06-16,5.2584,23.7932,0.6623
gin_beyla,2021-06-17,6.0904,24.6778,1.3095
gin_beyla,2021-06-18,5.768,23.9076,1.1417
gin_beyla,2021-06-19,4.4891,23.1794,1.0062
gin_beyla,2021-06-20,5.0874,23.2726,1.3228
gin_beyla,2021-06-21,4.2526,23.3258,1.6953
gin_beyla,2021-06-22,3.3229,22.5607,1.1909
gin_beyla,2021-06-23,4.1729,22.676,1.2046
gin_beyla,2021-06-24,4.8508,22.9879,1.3993
gin_beyla,2021-06-25,4.8088,22.4595,0.6531
gin_beyla,2021-06-26,4.8525,22.6119,0.8744
gin_beyla,2021-06-27,5.1019,22.9943,0.8548
gin_beyla,2021-06-28,6.4365,23.8283,1.2072
gin_beyla,2021-06-29,6.469,25.0364,1.2749
gin_beyla,2021-06-30,4.8732,23.6093,1.2435
gin_beyla,2021-07-01,4.8657,22.6813,0.9352
gin_beyla,2021-07-02,5.1276,23.0003,0.9925
gin_beyla,2021-07-03,2.6719,22.4709,1.3294
gin_beyla,2021-07-04,5.3988,22.9297,1.0668
gin_beyla,2021-07-05,4.6795,22.7296,0.4425
gin_beyla,2021-07-06,4.4247,22.9079,0.7643
gin_beyla,2021-07-07,5.1112,23.892,1.1902
gin_beyla,2021-07-08,5.0097,24.2167,1.8221
gin_beyla,2021-07-09,4.5096,23.531,2.3909
gin_beyla,2021-07-10,3.7491,22.9974,1.7748
gin_beyla,2021-07-11,3.766,22.4445,1.2681
gin_beyla,2021-07-12,4.2605,22.7458,1.0018
gin_beyla,2021-07-13,4.9625,23.6898,1.2749
gin_beyla,2021-07-14,3.1375,22.015,1.729
gin_beyla,2021-07-15,5.0408,23.387,1.5257
gin_beyla,2021-07-16,3.7115,22.5502,1.063
gin_beyla,2021-07-17,4.9982,22.6802,0.9838
gin_beyla,2021-07-18,4.4726,23.1901,1.2032
gin_beyla,2021-07-19,4.9558,24.0724,1.4359
gin_beyla,2021-07-20,4.8084,23.9012,1.4813
gin_beyla,2021-07-21,3.9007,23.2542,1.7863
gin_beyla,2021-07-22,2.6268,22.5964,1.9608
gin_beyla,2021-07-23,1.8915,21.0088,1.7159
gin_beyla,2021-07-24,3.0988,21.1009,1.9608
gin_beyla,2021-07-25,4.454,22.5771,1.5268
gin_beyla,2021-07-26,3.7422,22.5778,1.514
gin_beyla,2021-07-27,2.8095,22.0394,1.5813
gin_beyla,2021-07-28,1.6601,21.2071,1.8938
gin_beyla,2021-07-29,3.2595,21.9879,1.8272
gin_beyla,2021-07-30,4.1176,22.442,1.4994
gin_beyla,2021-07-31,3.3011,21.8532,1.9197
gin_beyla,2021-08-01,1.7847,20.7813,1.9247
gin_beyla,2021-08-02,6.3933,24.0242,1.756
gin_beyla,2021-08-03,6.5026,24.3595,0.9108
gin_beyla,2021-08-04,3.8299,22.591,1.012
gin_beyla,2021-08-05,4.4743,22.3736,1.7122
gin_beyla,2021-08-06,5.5764,23.1365,2.0137
gin_beyla,2021-08-07,5.9383,24.0306,1.4397
gin_beyla,2021-08-08,4.946,23.3021,1.1461
gin_beyla,2021-08-09,3.5533,22.189,1.2008
gin_beyla,2021-08-10,3.9042,22.7368,1.3215
gin_beyla,2021-08-11,3.9325,22.4822,1.2173
gin_beyla,2021-08-12,3.6724,22.2871,1.2104
gin_beyla,2021-08-13,2.1526,21.3558,1.8367
gin_beyla,2021-08-14,4.6628,22.508,1.5696
gin_beyla,2021-08-15,2.0524,21.0828,1.9469
gin_beyla,2021-08-16,3.7716,22.203,1.7335
gin_beyla,2021-08-17,3.4058,22.2893,1.5569
gin_beyla,2021-08-18,3.9,22.6236,1.9842
gin_beyla,2021-08-19,5.6828,23.3588,1.2266
gin_beyla,2021-08-20,3.239,21.8168,0.8693
gin_beyla,2021-08-21,6.0576,23.0011,0.779
