localite,annee,mois,ghi,t2m,vent_10m
gin_beyla,2001,1,6.0412,24.6913,0.3298
gin_beyla,2001,2,6.701,25.6776,0.8037
gin_beyla,2001,3,5.6226,25.5563,1.0528
gin_beyla,2001,4,5.56,24.6785,1.0916
gin_beyla,2001,5,5.3789,24.2425,0.9619
gin_beyla,2001,6,4.7665,22.7623,1.0307
gin_beyla,2001,7,3.8802,21.9535,1.1264
gin_beyla,2001,8,3.6829,21.8681,1.1927
gin_beyla,2001,9,4.5299,22.3167,0.6373
gin_beyla,2001,10,5.3537,23.5808,0.4834
gin_beyla,2001,11,4.9861,23.5664,0.5387
gin_beyla,2001,12,5.3445,24.7362,0.3233
gin_beyla,2002,1,5.6853,24.1431,0.6763
gin_beyla,2002,2,6.2976,25.608,0.2768
gin_beyla,2002,3,5.5453,25.5255,1.0158
gin_beyla,2002,4,5.4513,25.1627,1.0853
gin_beyla,2002,5,5.4829,24.5756,0.9516
gin_beyla,2002,6,4.5407,23.0158,0.953
gin_beyla,2002,7,4.5358,22.7384,1.0149
gin_beyla,2002,8,4.1939,22.3684,1.0561
gin_beyla,2002,9,4.9258,22.8407,0.5138
gin_beyla,2002,10,5.094,23.1736,0.4085
gin_beyla,2002,11,5.3005,24.3168,0.5651
gin_beyla,2002,12,5.7612,24.6198,0.6711
gin_beyla,2003,1,5.4264,25.2157,0.303
gin_beyla,2003,2,5.4677,26.7062,0.6667
gin_beyla,2003,3,5.8334,26.3933,0.8764
gin_beyla,2003,4,5.5552,25.0512,1.0995
gin_beyla,2003,5,5.2578,24.2074,1.1379
gin_beyla,2003,6,4.7505,22.9771,0.8713
gin_beyla,2003,7,4.188,22.2575,1.1181
gin_beyla,2003,8,3.5228,21.9182,1.2646
gin_beyla,2003,9,4.8338,22.766,0.5807
gin_beyla,2003,10,5.168,23.497,0.4005
gin_beyla,2003,11,4.918,24.062,0.4132
gin_beyla,2003,12,5.4589,24.702,0.3267
gin_beyla,2004,1,5.6258,25.5326,0.3907
gin_beyla,2004,2,5.7531,25.9782,0.4378
gin_beyla,2004,3,5.7804,25.5369,0.6401
gin_beyla,2004,4,5.3966,24.5581,0.9282
gin_beyla,2004,5,5.274,24.0924,0.9554
gin_beyla,2004,6,5.0635,23.0593,0.8094
gin_beyla,2004,7,4.1033,21.9634,0.9199
