localite,date,ghi,dni,dhi,kt,albedo,t2m,rh2m,vent_2m,vent_10m,precipitation
gin_beyla,1991-01-01,3.9998,,3.0984,,,20.53,58.53,1.66,2.7,0.0
gin_beyla,1991-01-02,3.666,,3.0048,,,18.53,51.57,1.88,3.28,0.0
gin_beyla,1991-01-03,4.3637,,2.9592,,,18.41,51.37,1.94,3.31,0.0
gin_beyla,1991-01-04,4.6142,,2.8896,,,20.2,48.51,1.46,2.42,0.0
gin_beyla,1991-01-05,4.4314,,2.9304,,,20.77,48.77,1.79,2.94,0.0
gin_beyla,1991-01-06,4.968,,2.5896,,,20.27,51.88,2.02,3.48,0.0
gin_beyla,1991-01-07,5.5478,,2.1576,,,19.95,53.84,2.01,3.58,0.0
gin_beyla,1991-01-08,5.358,,2.304,,,20.05,51.75,2.03,3.39,0.0
gin_beyla,1991-01-09,5.4336,,2.2824,,,20.86,50.05,1.68,2.84,0.0
gin_beyla,1991-01-10,5.3246,,2.5584,,,19.81,53.26,2.2,3.81,0.0
gin_beyla,1991-01-11,5.6174,,2.2824,,,21.5,49.02,1.72,2.84,0.0
gin_beyla,1991-01-12,5.5102,,2.1432,,,22.1,50.13,1.66,2.64,0.0
gin_beyla,1991-01-13,5.303,,2.4336,,,22.12,49.46,1.94,3.12,0.0
gin_beyla,1991-01-14,5.335,,2.4048,,,22.86,51.45,1.33,2.13,0.0
gin_beyla,1991-01-15,5.5788,,2.16,,,22.66,72.43,1.54,2.51,0.01
gin_beyla,1991-01-16,5.5361,,2.448,,,23.67,72.61,1.3,2.18,0.72
gin_beyla,1991-01-17,4.4539,,2.9904,,,22.61,75.73,1.59,2.61,2.1
gin_beyla,1991-01-18,5.2918,,2.4456,,,22.49,53.59,2.15,3.35,0.0
gin_beyla,1991-01-19,5.9592,,2.0544,,,23.81,52.33,1.25,1.88,0.39
gin_beyla,1991-01-20,6.0732,,1.9536,,,23.03,69.77,1.34,2.25,0.85
gin_beyla,1991-01-21,5.4365,,2.34,,,22.65,82.39,1.67,2.68,1.74
gin_beyla,1991-01-22,3.8558,,3.9408,,,21.62,82.71,1.25,1.98,8.53
gin_beyla,1991-01-23,4.7549,,4.5072,,,23.47,64.37,1.06,1.68,0.09
gin_beyla,1991-01-24,4.8581,,4.2336,,,23.01,66.74,1.25,2.11,0.72
gin_beyla,1991-01-25,6.4834,,1.8672,,,23.67,69.02,1.0,1.71,0.77
gin_beyla,1991-01-26,6.3322,,1.86,,,24.48,70.73,0.89,1.39,0.14
gin_beyla,1991-01-27,6.1188,,2.2176,,,24.92,60.86,1.14,1.78,0.15
gin_beyla,1991-01-28,6.3742,,1.8792,,,23.28,80.64,1.08,1.86,0.05
gin_beyla,1991-01-29,5.771,,2.436,,,23.19,74.79,1.19,1.93,0.05
gin_beyla,1991-01-30,5.227,,2.7336,,,24.06,63.12,1.13,1.88,0.04
gin_beyla,1991-01-31,6.4582,,2.5584,,,23.08,75.13,0.96,1.63,0.0
gin_beyla,1991-02-01,6.2587,,1.932,,,21.41,60.6,1.81,3.08,0.0
gin_beyla,1991-02-02,6.0031,,2.4072,,,21.58,44.38,2.1,3.38,0.0
gin_beyla,1991-02-03,6.3739,,2.0472,,,21.17,46.59,2.04,3.45,0.0
gin_beyla,1991-02-04,6.258,,2.1096,,,22.57,39.85,1.75,2.72,0.0
gin_beyla,1991-02-05,5.9134,,2.628,,,22.52,39.69,1.64,2.42,0.0
gin_beyla,1991-02-06,6.4008,,1.9056,,,23.17,40.89,1.54,2.38,0.0
gin_beyla,1991-02-07,5.9669,,2.3688,,,23.34,43.24,1.62,2.5,0.0
gin_beyla,1991-02-08,6.5758,,2.436,,,24.02,44.5,1.45,2.18,0.0
gin_beyla,1991-02-09,6.3379,,1.9224,,,24.06,46.47,1.06,1.7,0.0
gin_beyla,1991-02-10,6.2736,,2.2584,,,23.74,67.43,1.38,2.23,0.3
gin_beyla,1991-02-11,4.4791,,3.936,,,24.6,65.15,1.32,2.12,0.6
gin_beyla,1991-02-12,4.6243,,3.2904,,,24.57,72.94,1.22,1.97,0.78
gin_beyla,1991-02-13,2.8906,,3.084,,,23.83,77.32,1.18,1.98,0.83
gin_beyla,1991-02-14,4.5734,,4.152,,,22.73,84.79,2.03,2.97,0.87
gin_beyla,1991-02-15,4.4472,,4.0272,,,22.75,80.82,1.23,1.94,0.11
gin_beyla,1991-02-16,5.917,,2.496,,,23.72,69.5,1.12,1.73,0.08
gin_beyla,1991-02-17,6.1958,,2.6616,,,23.3,79.29,1.55,2.32,0.22
gin_beyla,1991-02-18,4.267,,3.7056,,,23.27,80.52,1.57,2.34,0.09
gin_beyla,1991-02-19,4.7196,,3.4992,,,24.01,76.6,1.5,2.24,0.1
gin_beyla,1991-02-20,4.5883,,3.732,,,24.91,72.09,1.62,2.54,0.32
gin_beyla,1991-02-21,5.7511,,3.0552,,,24.24,73.15,1.89,2.96,0.14
gin_beyla,1991-02-22,6.4937,,2.3352,,,25.08,72.25,1.33,2.02,0.72
gin_beyla,1991-02-23,6.1466,,3.1536,,,25.64,67.98,1.61,2.55,0.95
gin_beyla,1991-02-24,6.4094,,2.9856,,,24.73,68.92,1.32,2.17,0.37
gin_beyla,1991-02-25,6.4051,,3.1752,,,24.98,67.28,2.01,3.0,0.0
gin_beyla,1991-02-26,5.8836,,3.0528,,,24.46,73.83,1.38,2.23,0.0
gin_beyla,1991-02-27,4.7208,,4.1544,,,24.87,72.96,1.25,1.94,0.0
gin_beyla,1991-02-28,4.5792,,3.4128,,,25.38,65.33,1.0,1.58,0.0
gin_beyla,1991-03-01,6.6598,,2.1696,,,25.96,58.23,1.06,1.6,0.0
gin_beyla,1991-03-02,4.6584,,4.5192,,,25.14,62.96,0.99,1.56,0.0
gin_beyla,1991-03-03,4.5019,,5.016,,,25.22,68.83,1.52,2.26,0.0
gin_beyla,1991-03-04,5.977,,4.1832,,,26.18,66.39,1.18,1.92,0.0
gin_beyla,1991-03-05,5.4502,,3.6696,,,25.81,72.45,1.48,2.22,0.0
gin_beyla,1991-03-06,4.693,,2.7912,,,25.71,69.63,1.12,1.79,0.02
gin_beyla,1991-03-07,4.3186,,3.0096,,,25.71,72.7,1.52,2.32,1.31
gin_beyla,1991-03-08,3.713,,4.0224,,,25.65,73.0,1.27,1.96,1.01
gin_beyla,1991-03-09,5.4206,,3.2112,,,24.96,79.1,1.37,2.02,2.93
gin_beyla,1991-03-10,3.9823,,3.6576,,,25.24,77.62,1.55,2.4,8.09
gin_beyla,1991-03-11,6.0744,,2.3424,,,25.69,72.28,1.52,2.3,1.69
gin_beyla,1991-03-12,6.2009,,2.9496,,,24.98,79.02,1.9,2.86,2.34
gin_beyla,1991-03-13,5.215,,3.5304,,,23.72,85.04,2.19,3.29,1.55
gin_beyla,1991-03-14,4.3966,,4.7064,,,24.4,81.91,2.14,3.13,2.43
gin_beyla,1991-03-15,4.7957,,3.0,,,24.67,76.64,1.79,2.77,1.0
gin_beyla,1991-03-16,5.6167,,3.3072,,,26.02,58.26,1.06,1.77,3.88
gin_beyla,1991-03-17,5.466,,3.528,,,25.28,74.93,0.98,1.6,1.86
gin_beyla,1991-03-18,5.4919,,3.7776,,,26.07,64.95,1.42,2.19,0.46
gin_beyla,1991-03-19,6.3463,,2.6304,,,24.99,74.14,1.23,2.05,2.25
gin_beyla,1991-03-20,3.8021,,3.684,,,24.48,77.01,1.37,2.05,0.05
gin_beyla,1991-03-21,4.5876,,3.756,,,24.53,72.27,1.01,1.6,0.22
gin_beyla,1991-03-22,4.481,,4.26,,,24.28,76.02,1.51,2.31,1.39
gin_beyla,1991-03-23,5.5538,,3.204,,,25.46,75.6,1.18,1.8,0.28
gin_beyla,1991-03-24,3.8369,,4.0632,,,25.24,72.77,1.2,1.8,1.24
gin_beyla,1991-03-25,3.7985,,3.4272,,,24.27,76.59,1.25,1.96,1.8
gin_beyla,1991-03-26,4.8761,,5.2656,,,23.67,82.05,1.42,2.22,1.13
gin_beyla,1991-03-27,4.819,,4.836,,,24.35,76.84,0.93,1.51,0.67
gin_beyla,1991-03-28,5.9592,,3.3984,,,24.06,78.0,1.0,1.65,0.45
gin_beyla,1991-03-29,6.0338,,3.2544,,,26.08,64.3,0.86,1.52,0.13
gin_beyla,1991-03-30,3.7123,,3.5448,,,25.74,70.5,1.71,2.66,0.46
gin_beyla,1991-03-31,4.7731,,3.7128,,,25.66,71.09,1.68,2.58,0.23
gin_beyla,1991-04-01,5.9225,,3.4944,,,23.76,80.76,2.35,3.5,2.96
gin_beyla,1991-04-02,5.1094,,3.072,,,22.88,84.17,2.64,3.92,5.3
gin_beyla,1991-04-03,5.5351,,4.6368,,,24.67,74.51,1.95,2.98,0.46
gin_beyla,1991-04-04,5.7401,,2.9064,,,25.42,71.49,1.92,2.9,3.79
gin_beyla,1991-04-05,5.0993,,5.2584,,,24.54,78.97,2.23,3.33,4.47
gin_beyla,1991-04-06,4.8228,,4.7592,,,24.96,78.28,1.16,1.77,2.37
gin_beyla,1991-04-07,4.932,,2.7792,,,23.56,85.99,1.65,2.51,9.22
gin_beyla,1991-04-08,4.1844,,4.608,,,24.24,81.11,1.88,2.8,1.65
gin_beyla,1991-04-09,6.3324,,2.0424,,,23.58,84.28,1.83,2.78,8.08
gin_beyla,1991-04-10,5.5454,,3.204,,,24.76,81.07,1.71,2.61,6.09
gin_beyla,1991-04-11,4.6258,,4.4472,,,24.27,82.73,1.63,2.54,5.1
gin_beyla,1991-04-12,3.4994,,3.6096,,,24.49,79.84,1.56,2.44,9.68
gin_beyla,1991-04-13,5.1209,,3.792,,,24.24,81.2,1.92,2.88,4.52
gin_beyla,1991-04-14,6.0053,,2.9928,,,23.47,84.16,1.47,2.27,7.06
gin_beyla,1991-04-15,3.3739,,2.9088,,,23.17,84.84,1.2,1.94,9.41
gin_beyla,1991-04-16,6.5266,,2.4264,,,24.31,76.59,0.74,1.24,10.79
