localite,annee,mois,ghi,dni,dhi,kt,albedo,t2m,rh2m,vent_2m,vent_10m
gin_beyla,1991,1,5.2915,,2.6021,,,22.05,61.5,1.52,2.51
gin_beyla,1991,2,5.5519,,2.9258,,,23.74,64.08,1.52,2.38
gin_beyla,1991,3,5.0069,,3.6266,,,25.14,72.94,1.37,2.12
gin_beyla,1991,4,5.3971,,3.5218,,,24.27,82.18,1.55,2.38
gin_beyla,1991,5,5.0978,,4.2958,,,23.72,87.79,1.62,2.53
gin_beyla,1991,6,5.4588,,4.2528,,,23.6,87.3,1.39,2.22
gin_beyla,1991,7,4.6915,,4.164,,,22.02,89.58,1.93,2.98
gin_beyla,1991,8,4.6318,,4.3476,,,21.47,91.78,2.2,3.4
gin_beyla,1991,9,5.4456,,4.2972,,,22.35,88.74,1.36,2.18
gin_beyla,1991,10,5.3674,,3.9734,,,22.09,87.54,1.34,2.17
gin_beyla,1991,11,5.1478,,3.1404,,,22.43,82.02,1.33,2.16
gin_beyla,1991,12,5.1967,,2.5817,,,21.28,69.2,1.53,2.53
gin_beyla,1992,1,5.4917,,2.3302,,,20.61,60.44,1.86,3.04
gin_beyla,1992,2,5.376,,2.8776,,,23.77,63.84,1.48,2.36
gin_beyla,1992,3,5.8068,,3.331,,,24.4,64.6,1.39,2.21
gin_beyla,1992,4,5.4091,,3.5448,,,24.56,78.86,1.5,2.34
gin_beyla,1992,5,5.0825,,4.0639,,,23.33,86.28,1.42,2.24
gin_beyla,1992,6,4.8326,,4.301,,,23.21,84.95,1.57,2.45
gin_beyla,1992,7,4.6414,,4.3728,,,21.75,88.3,2.07,3.16
gin_beyla,1992,8,4.8074,,4.4398,,,21.11,89.74,2.3,3.52
gin_beyla,1992,9,5.1456,,3.7831,,,22.16,87.24,1.53,2.41
gin_beyla,1992,10,5.5051,,3.8486,,,22.77,85.46,1.25,2.03
gin_beyla,1992,11,5.0328,,2.9549,,,22.19,75.06,1.26,2.12
gin_beyla,1992,12,5.3573,,2.3611,,,22.48,63.49,1.2,2.02
gin_beyla,1993,1,5.5862,,2.305,,,21.68,45.89,1.93,3.18
