localite,annee,mois,ghi
gin_beyla,2021,1,6.1881
gin_beyla,2021,2,6.0929
gin_beyla,2021,3,6.1068
gin_beyla,2021,4,6.1417
gin_beyla,2021,5,5.9623
gin_beyla,2021,6,5.4753
gin_beyla,2021,7,4.6284
gin_beyla,2021,8,5.0745
gin_beyla,2021,9,5.545
gin_beyla,2021,10,5.8723
gin_beyla,2021,11,5.9877
gin_beyla,2021,12,5.9952
gin_beyla,2022,1,6.3155
gin_beyla,2022,2,6.53
gin_beyla,2022,3,6.2206
gin_beyla,2022,4,6.29
gin_beyla,2022,5,5.7445
gin_beyla,2022,6,5.4323
gin_beyla,2022,7,4.7887
gin_beyla,2022,8,5.0377
gin_beyla,2022,9,5.2943
gin_beyla,2022,10,5.6203
gin_beyla,2022,11,5.6897
gin_beyla,2022,12,5.8203
gin_beyla,2023,1,6.1971
gin_beyla,2023,2,6.1679
gin_beyla,2023,3,5.8413
gin_beyla,2023,4,6.117
gin_beyla,2023,5,5.9461
gin_beyla,2023,6,4.9793
gin_beyla,2023,7,5.2423
gin_beyla,2023,8,5.0926
gin_beyla,2023,9,5.6733
gin_beyla,2023,10,5.3548
gin_beyla,2023,11,5.4163
gin_beyla,2023,12,6.0029
gin_boffa,2021,1,5.9355
gin_boffa,2021,2,6.2561
gin_boffa,2021,3,6.8674
gin_boffa,2021,4,7.0763
gin_boffa,2021,5,6.3113
gin_boffa,2021,6,5.3617
gin_boffa,2021,7,4.1565
gin_boffa,2021,8,4.3774
gin_boffa,2021,9,5.527
gin_boffa,2021,10,5.3658
gin_boffa,2021,11,5.6457
gin_boffa,2021,12,5.4632
gin_boffa,2022,1,5.8558
gin_boffa,2022,2,6.5361
gin_boffa,2022,3,6.9323
gin_boffa,2022,4,7.1317
gin_boffa,2022,5,5.8332
gin_boffa,2022,6,5.4413
gin_boffa,2022,7,3.9087
gin_boffa,2022,8,3.9284
gin_boffa,2022,9,4.681
gin_boffa,2022,10,5.7013
gin_boffa,2022,11,5.558
gin_boffa,2022,12,5.431
gin_boffa,2023,1,6.0839
gin_boffa,2023,2,6.3411
gin_boffa,2023,3,6.8561
gin_boffa,2023,4,7.091
gin_boffa,2023,5,5.7177
gin_boffa,2023,6,5.069
gin_boffa,2023,7,4.621
gin_boffa,2023,8,4.4945
gin_boffa,2023,9,4.8667
gin_boffa,2023,10,5.0587
gin_boffa,2023,11,5.4007
gin_boffa,2023,12,5.67
gin_boke_centre,2021,1,5.9519
gin_boke_centre,2021,2,6.2818
gin_boke_centre,2021,3,7.0113
gin_boke_centre,2021,4,7.221
gin_boke_centre,2021,5,6.4023
gin_boke_centre,2021,6,5.6213
gin_boke_centre,2021,7,4.7768
gin_boke_centre,2021,8,4.6348
gin_boke_centre,2021,9,5.3877
gin_boke_centre,2021,10,5.3013
gin_boke_centre,2021,11,5.458
gin_boke_centre,2021,12,5.5052
gin_boke_centre,2022,1,5.9387
gin_boke_centre,2022,2,6.5807
gin_boke_centre,2022,3,7.0255
gin_boke_centre,2022,4,7.2343
gin_boke_centre,2022,5,6.3329
gin_boke_centre,2022,6,5.245
gin_boke_centre,2022,7,4.4213
gin_boke_centre,2022,8,4.311
gin_boke_centre,2022,9,5.0423
gin_boke_centre,2022,10,5.5794
gin_boke_centre,2022,11,5.6033
gin_boke_centre,2022,12,5.4768
gin_boke_centre,2023,1,6.0374
gin_boke_centre,2023,2,6.4025
gin_boke_centre,2023,3,6.9726
gin_boke_centre,2023,4,7.154
gin_boke_centre,2023,5,5.73
gin_boke_centre,2023,6,5.3837
gin_boke_centre,2023,7,4.8771
gin_boke_centre,2023,8,4.9584
gin_boke_centre,2023,9,5.314
gin_boke_centre,2023,10,5.4381
gin_boke_centre,2023,11,5.6237
gin_boke_centre,2023,12,5.6013
gin_conakry_kaloum,2021,1,5.8377
gin_conakry_kaloum,2021,2,6.1225
gin_conakry_kaloum,2021,3,6.6732
gin_conakry_kaloum,2021,4,6.6573
gin_conakry_kaloum,2021,5,6.0316
gin_conakry_kaloum,2021,6,5.4073
gin_conakry_kaloum,2021,7,4.4803
gin_conakry_kaloum,2021,8,4.5965
gin_conakry_kaloum,2021,9,5.722
gin_conakry_kaloum,2021,10,5.6026
gin_conakry_kaloum,2021,11,5.653
gin_conakry_kaloum,2021,12,5.4223
gin_conakry_kaloum,2022,1,5.8055
gin_conakry_kaloum,2022,2,6.4329
gin_conakry_kaloum,2022,3,6.87
gin_conakry_kaloum,2022,4,6.9627
gin_conakry_kaloum,2022,5,5.8003
gin_conakry_kaloum,2022,6,5.4267
gin_conakry_kaloum,2022,7,4.1145
gin_conakry_kaloum,2022,8,3.8258
gin_conakry_kaloum,2022,9,4.6363
gin_conakry_kaloum,2022,10,5.5781
gin_conakry_kaloum,2022,11,5.5787
gin_conakry_kaloum,2022,12,5.2726
gin_conakry_kaloum,2023,1,6.0571
gin_conakry_kaloum,2023,2,6.3043
gin_conakry_kaloum,2023,3,6.7274
gin_conakry_kaloum,2023,4,6.7703
gin_conakry_kaloum,2023,5,5.4613
gin_conakry_kaloum,2023,6,5.1237
gin_conakry_kaloum,2023,7,4.9184
gin_conakry_kaloum,2023,8,4.6352
gin_conakry_kaloum,2023,9,4.9983
gin_conakry_kaloum,2023,10,5.211
gin_conakry_kaloum,2023,11,5.4283
gin_conakry_kaloum,2023,12,5.7061
gin_coyah,2021,1,5.9239
gin_coyah,2021,2,6.2164
gin_coyah,2021,3,6.7629
gin_coyah,2021,4,6.718
gin_coyah,2021,5,6.0416
gin_coyah,2021,6,5.1317
gin_coyah,2021,7,3.9284
gin_coyah,2021,8,4.0694
gin_coyah,2021,9,5.3873
gin_coyah,2021,10,5.331
gin_coyah,2021,11,5.5543
gin_coyah,2021,12,5.4865
gin_coyah,2022,1,5.8755
gin_coyah,2022,2,6.5164
gin_coyah,2022,3,6.9003
gin_coyah,2022,4,7.0087
gin_coyah,2022,5,5.6235
gin_coyah,2022,6,4.8033
gin_coyah,2022,7,3.5461
gin_coyah,2022,8,3.6135
gin_coyah,2022,9,4.4773
gin_coyah,2022,10,5.2242
gin_coyah,2022,11,5.5017
gin_coyah,2022,12,5.3426
gin_coyah,2023,1,6.0977
gin_coyah,2023,2,6.3936
gin_coyah,2023,3,6.789
gin_coyah,2023,4,6.8523
gin_coyah,2023,5,5.2452
gin_coyah,2023,6,4.7997
gin_coyah,2023,7,4.52
gin_coyah,2023,8,4.2461
gin_coyah,2023,9,4.64
gin_coyah,2023,10,4.8968
gin_coyah,2023,11,5.175
gin_coyah,2023,12,5.7419
gin_dabola,2021,1,6.2116
gin_dabola,2021,2,6.4611
gin_dabola,2021,3,6.9558
gin_dabola,2021,4,6.752
gin_dabola,2021,5,6.3645
gin_dabola,2021,6,6.0473
gin_dabola,2021,7,5.6513
gin_dabola,2021,8,5.3465
gin_dabola,2021,9,5.894
gin_dabola,2021,10,5.8403
gin_dabola,2021,11,6.1053
gin_dabola,2021,12,5.7555
gin_dabola,2022,1,6.1119
gin_dabola,2022,2,6.7407
gin_dabola,2022,3,6.9542
gin_dabola,2022,4,7.1193
gin_dabola,2022,5,6.3613
gin_dabola,2022,6,5.8587
gin_dabola,2022,7,5.5461
gin_dabola,2022,8,5.2894
gin_dabola,2022,9,5.6087
gin_dabola,2022,10,5.7287
gin_dabola,2022,11,5.8217
gin_dabola,2022,12,5.609
gin_dabola,2023,1,6.2326
gin_dabola,2023,2,6.5104
gin_dabola,2023,3,6.8103
gin_dabola,2023,4,7.1173
gin_dabola,2023,5,5.8865
gin_dabola,2023,6,5.7283
gin_dabola,2023,7,6.1574
gin_dabola,2023,8,5.3819
gin_dabola,2023,9,6.058
gin_dabola,2023,10,5.7
gin_dabola,2023,11,5.8387
gin_dabola,2023,12,5.8806
gin_dalaba,2021,1,6.1458
gin_dalaba,2021,2,6.3182
gin_dalaba,2021,3,6.7339
gin_dalaba,2021,4,6.721
gin_dalaba,2021,5,6.1477
gin_dalaba,2021,6,5.4903
gin_dalaba,2021,7,5.2035
gin_dalaba,2021,8,4.8835
gin_dalaba,2021,9,5.5997
gin_dalaba,2021,10,5.4455
gin_dalaba,2021,11,5.8163
gin_dalaba,2021,12,5.7142
gin_dalaba,2022,1,6.0665
gin_dalaba,2022,2,6.7821
gin_dalaba,2022,3,6.9142
gin_dalaba,2022,4,6.9917
gin_dalaba,2022,5,5.9377
gin_dalaba,2022,6,5.3943
gin_dalaba,2022,7,4.7084
gin_dalaba,2022,8,4.5777
gin_dalaba,2022,9,5.389
gin_dalaba,2022,10,5.3374
gin_dalaba,2022,11,5.6683
gin_dalaba,2022,12,5.5587
gin_dalaba,2023,1,6.2597
gin_dalaba,2023,2,6.4943
gin_dalaba,2023,3,6.5948
gin_dalaba,2023,4,6.8563
gin_dalaba,2023,5,5.7235
gin_dalaba,2023,6,5.3297
gin_dalaba,2023,7,5.2052
gin_dalaba,2023,8,5.1706
gin_dalaba,2023,9,5.3353
gin_dalaba,2023,10,5.0126
gin_dalaba,2023,11,5.8047
gin_dalaba,2023,12,5.9206
gin_dinguiraye,2021,1,6.1868
gin_dinguiraye,2021,2,6.4161
gin_dinguiraye,2021,3,7.0255
gin_dinguiraye,2021,4,7.014
gin_dinguiraye,2021,5,6.4816
gin_dinguiraye,2021,6,6.025
gin_dinguiraye,2021,7,5.7532
gin_dinguiraye,2021,8,5.1394
gin_dinguiraye,2021,9,5.8347
gin_dinguiraye,2021,10,5.5723
gin_dinguiraye,2021,11,6.0013
gin_dinguiraye,2021,12,5.7206
gin_dinguiraye,2022,1,6.0239
gin_dinguiraye,2022,2,6.6814
gin_dinguiraye,2022,3,6.9139
gin_dinguiraye,2022,4,7.2987
gin_dinguiraye,2022,5,6.3606
gin_dinguiraye,2022,6,5.809
gin_dinguiraye,2022,7,5.3429
gin_dinguiraye,2022,8,5.1129
gin_dinguiraye,2022,9,5.4193
gin_dinguiraye,2022,10,5.8181
gin_dinguiraye,2022,11,5.913
gin_dinguiraye,2022,12,5.6103
gin_dinguiraye,2023,1,6.2271
gin_dinguiraye,2023,2,6.5107
gin_dinguiraye,2023,3,6.9823
gin_dinguiraye,2023,4,7.1717
gin_dinguiraye,2023,5,5.921
gin_dinguiraye,2023,6,5.9107
gin_dinguiraye,2023,7,6.0606
gin_dinguiraye,2023,8,5.4777
gin_dinguiraye,2023,9,6.0543
gin_dinguiraye,2023,10,5.5255
gin_dinguiraye,2023,11,6.0107
gin_dinguiraye,2023,12,5.8781
gin_dubreka,2021,1,5.9368
gin_dubreka,2021,2,6.1464
gin_dubreka,2021,3,6.7965
gin_dubreka,2021,4,6.7647
gin_dubreka,2021,5,6.0165
gin_dubreka,2021,6,4.9727
gin_dubreka,2021,7,3.8552
gin_dubreka,2021,8,4.0048
gin_dubreka,2021,9,5.0453
gin_dubreka,2021,10,5.091
gin_dubreka,2021,11,5.4093
gin_dubreka,2021,12,5.5242
gin_dubreka,2022,1,5.8665
gin_dubreka,2022,2,6.5179
gin_dubreka,2022,3,6.9126
gin_dubreka,2022,4,7.022
gin_dubreka,2022,5,5.4748
gin_dubreka,2022,6,4.8683
gin_dubreka,2022,7,3.3394
gin_dubreka,2022,8,3.5452
gin_dubreka,2022,9,4.331
gin_dubreka,2022,10,4.9335
gin_dubreka,2022,11,5.414
gin_dubreka,2022,12,5.2806
gin_dubreka,2023,1,6.1113
gin_dubreka,2023,2,6.4218
gin_dubreka,2023,3,6.8126
gin_dubreka,2023,4,6.8537
gin_dubreka,2023,5,5.1668
gin_dubreka,2023,6,4.605
gin_dubreka,2023,7,4.3361
gin_dubreka,2023,8,4.0797
gin_dubreka,2023,9,4.6053
gin_dubreka,2023,10,4.7119
gin_dubreka,2023,11,5.0667
gin_dubreka,2023,12,5.7219
gin_faranah_centre,2021,1,6.1755
gin_faranah_centre,2021,2,6.4164
gin_faranah_centre,2021,3,6.7806
gin_faranah_centre,2021,4,6.8753
gin_faranah_centre,2021,5,6.2232
gin_faranah_centre,2021,6,5.4057
gin_faranah_centre,2021,7,5.0816
gin_faranah_centre,2021,8,5.1594
gin_faranah_centre,2021,9,5.4697
gin_faranah_centre,2021,10,5.7165
gin_faranah_centre,2021,11,6.1017
gin_faranah_centre,2021,12,5.7774
gin_faranah_centre,2022,1,6.1445
gin_faranah_centre,2022,2,6.6168
gin_faranah_centre,2022,3,6.8026
gin_faranah_centre,2022,4,7.017
gin_faranah_centre,2022,5,5.9335
gin_faranah_centre,2022,6,5.752
gin_faranah_centre,2022,7,5.0574
gin_faranah_centre,2022,8,5.0045
gin_faranah_centre,2022,9,5.2763
gin_faranah_centre,2022,10,5.63
gin_faranah_centre,2022,11,5.9117
gin_faranah_centre,2022,12,5.6113
gin_faranah_centre,2023,1,6.1958
gin_faranah_centre,2023,2,6.4071
gin_faranah_centre,2023,3,6.8181
gin_faranah_centre,2023,4,6.8363
gin_faranah_centre,2023,5,5.8494
gin_faranah_centre,2023,6,5.096
gin_faranah_centre,2023,7,5.5752
gin_faranah_centre,2023,8,5.399
gin_faranah_centre,2023,9,5.7747
gin_faranah_centre,2023,10,5.6513
gin_faranah_centre,2023,11,5.6687
gin_faranah_centre,2023,12,5.8613
gin_forecariah,2021,1,5.8639
