localite,date,ghi,dni
gin_kankan,2021-10-18,5.8666,5.348
gin_kankan,2021-10-19,5.5955,3.8789
gin_kankan,2021-10-20,2.707,0.4919
gin_kankan,2021-10-21,5.1813,4.0254
gin_kankan,2021-10-22,6.678,6.2731
gin_kankan,2021-10-23,4.4782,2.9776
gin_kankan,2021-10-24,5.5306,4.0261
gin_kankan,2021-10-25,5.3711,3.9184
gin_kankan,2021-10-26,5.3316,2.5641
gin_kankan,2021-10-27,6.4918,5.8449
gin_kankan,2021-10-28,5.6815,4.3602
gin_kankan,2021-10-29,6.0036,4.8588
gin_kankan,2021-10-30,5.4428,3.8522
gin_kankan,2021-10-31,5.6732,4.9329
gin_kankan,2021-11-01,6.0866,5.0213
gin_kankan,2021-11-02,6.0475,5.7823
gin_kankan,2021-11-03,6.353,6.7993
gin_kankan,2021-11-04,5.8246,5.3405
gin_kankan,2021-11-05,6.0013,5.4088
gin_kankan,2021-11-06,5.5925,4.3842
gin_kankan,2021-11-07,5.8432,5.5569
gin_kankan,2021-11-08,6.1414,6.2066
gin_kankan,2021-11-09,5.8113,5.1838
gin_kankan,2021-11-10,4.8863,3.4789
gin_kankan,2021-11-11,4.3983,2.721
gin_kankan,2021-11-12,5.2053,4.188
gin_kankan,2021-11-13,6.0599,6.4678
gin_kankan,2021-11-14,5.833,5.7594
gin_kankan,2021-11-15,6.0878,7.1466
gin_kankan,2021-11-16,6.12,7.2055
gin_kankan,2021-11-17,5.6683,5.0468
gin_kankan,2021-11-18,6.2117,7.6374
gin_kankan,2021-11-19,6.0068,6.7923
gin_kankan,2021-11-20,6.0665,7.1857
gin_kankan,2021-11-21,6.0601,6.8526
gin_kankan,2021-11-22,5.844,6.5816
gin_kankan,2021-11-23,5.8544,6.8217
gin_kankan,2021-11-24,5.7535,6.4097
gin_kankan,2021-11-25,5.8152,6.8456
gin_kankan,2021-11-26,5.9232,7.2687
gin_kankan,2021-11-27,5.5469,5.6739
gin_kankan,2021-11-28,5.1249,5.5116
gin_kankan,2021-11-29,5.4481,5.9754
gin_kankan,2021-11-30,5.6212,6.4222
gin_kankan,2021-12-01,5.2732,5.6516
gin_kankan,2021-12-02,5.4111,5.9987
gin_kankan,2021-12-03,5.3523,5.5523
gin_kankan,2021-12-04,5.1415,5.2142
gin_kankan,2021-12-05,5.2631,4.74
gin_kankan,2021-12-06,5.6216,5.56
gin_kankan,2021-12-07,5.4936,5.146
gin_kankan,2021-12-08,5.6221,5.6899
gin_kankan,2021-12-09,5.5016,4.8473
gin_kankan,2021-12-10,4.9263,3.4265
gin_kankan,2021-12-11,5.4093,4.5032
gin_kankan,2021-12-12,5.1626,4.3556
gin_kankan,2021-12-13,4.3582,2.2722
gin_kankan,2021-12-14,4.8477,3.5196
gin_kankan,2021-12-15,4.024,1.8925
gin_kankan,2021-12-16,4.7449,3.2882
gin_kankan,2021-12-17,4.525,2.8676
gin_kankan,2021-12-18,5.2919,5.7514
gin_kankan,2021-12-19,5.4468,5.6997
gin_kankan,2021-12-20,5.4354,5.5009
gin_kankan,2021-12-21,5.3216,5.1798
gin_kankan,2021-12-22,4.987,4.0436
gin_kankan,2021-12-23,5.5544,6.0051
gin_kankan,2021-12-24,5.5416,6.1942
gin_kankan,2021-12-25,5.3615,5.7096
gin_kankan,2021-12-26,5.5365,6.3655
gin_kankan,2021-12-27,4.7623,3.7987
gin_kankan,2021-12-28,3.8369,2.2188
gin_kankan,2021-12-29,5.7937,7.4563
gin_kankan,2021-12-30,5.3692,6.0079
gin_kankan,2021-12-31,5.6586,6.7634
gin_kankan,2022-01-01,5.7551,7.2812
gin_kankan,2022-01-02,5.5941,6.4597
gin_kankan,2022-01-03,5.3874,5.5879
gin_kankan,2022-01-04,5.5655,6.2937
gin_kankan,2022-01-05,5.3972,4.9234
gin_kankan,2022-01-06,5.5065,5.5177
gin_kankan,2022-01-07,5.2419,4.8544
gin_kankan,2022-01-08,4.9325,3.8443
gin_kankan,2022-01-09,5.2773,5.045
gin_kankan,2022-01-10,5.4551,5.5243
gin_kankan,2022-01-11,4.6625,2.3554
gin_kankan,2022-01-12,5.5367,6.1144
gin_kankan,2022-01-13,5.6116,6.1684
gin_kankan,2022-01-14,5.4959,5.8427
gin_kankan,2022-01-15,4.2672,1.8593
gin_kankan,2022-01-16,4.5953,2.9758
gin_kankan,2022-01-17,5.9006,6.9343
gin_kankan,2022-01-18,6.0512,7.2004
gin_kankan,2022-01-19,6.1023,7.3129
gin_kankan,2022-01-20,6.2229,7.6867
