localite,annee,mois,ghi,dni,jours
gin_kankan,2021,10,5.4309,4.0966,14
gin_kankan,2021,11,5.7746,5.9225,30
gin_kankan,2021,12,5.1799,4.8781,31
gin_kankan,2022,1,5.5518,5.5775,31
gin_kankan,2022,2,5.8285,4.3487,28
gin_kankan,2022,3,5.7838,3.2764,31
gin_kankan,2022,4,5.9904,3.8402,30
gin_kankan,2022,5,5.4991,3.2165,31
gin_kankan,2022,6,5.326,3.1718,30
gin_kankan,2022,7,4.8565,2.3095,31
gin_kankan,2022,8,4.71,2.2726,31
gin_kankan,2022,9,4.9533,2.8614,30
gin_kankan,2022,10,5.5851,4.0432,31
gin_kankan,2022,11,5.4314,4.796,30
gin_kankan,2022,12,5.1232,4.6034,31
gin_kankan,2023,1,5.688,5.9403,31
gin_kankan,2023,2,5.4681,3.9489,28
gin_kankan,2023,3,5.9921,4.492,31
gin_kankan,2023,4,6.1413,4.1709,30
gin_kankan,2023,5,5.5472,3.1993,31
gin_kankan,2023,6,4.9814,2.7974,30
gin_kankan,2023,7,5.2528,2.9524,31
gin_kankan,2023,8,4.7086,2.1183,31
gin_kankan,2023,9,5.362,3.5676,30
gin_kankan,2023,10,4.9883,2.5504,17
